season;club;age;players used;% foreigners playing time;Stadium size;avg attendance abs;occupancy;covid;covid occupancy
2019/20;Alaves;27.2;32;"0,192";19840;15889;"0,800856855";1;0
2019/20;Ath Bilbao;26.8;26;"0,01";53289;40980;"0,769014243";1;0
2019/20;Ath Madrid;26.0;30;"0,642";68456;57314;"0,837238518";1;0
2019/20;Barcelona;27.4;28;"0,645";99354;73588;"0,740664694";1;0
2019/20;Betis;27.3;27;"0,404";59378;48819;"0,822173195";1;0
2019/20;Celta;25.6;30;"0,509";29000;17532;"0,604551724";1;0
2019/20;Eibar;29.5;26;"0,501";8164;6059;"0,742160706";1;0
2019/20;Espanol;27.2;31;"0,283";40500;23513;"0,580567901";1;0
2019/20;Getafe;27.8;30;"0,521";16800;11786;"0,701547619";1;0
2019/20;Granada;26.6;27;"0,453";19336;16331;"0,844590401";1;0
2019/20;Leganes;26.6;29;"0,485";12454;10231;"0,821503132";1;0
2019/20;Levante;27.7;29;"0,272";25354;19288;"0,760747811";1;0
2019/20;Mallorca;26.8;32;"0,487";20500;14706;"0,717365854";1;0
2019/20;Osasuna;27.6;31;"0,216";18761;15543;"0,828473962";1;0
2019/20;Real Madrid;27.0;26;"0,762";81044;66875;"0,825169044";1;0
2019/20;Sevilla;27.6;26;"0,654";43883;36564;"0,833215596";1;0
2019/20;Sociedad;24.5;27;"0,256";39500;30990;"0,784556962";1;0
2019/20;Valencia;26.6;28;"0,521";48600;40325;"0,82973251";1;0
2019/20;Valladolid;26.7;30;"0,16";27618;19849;"0,718697951";1;0
2019/20;Villarreal;27.3;25;"0,184";23500;16547;"0,70412766";1;0
2019/20;Arsenal;25.1;29;"0,813";60.704;60279;",993";0;1
2019/20;Aston Villa;25.6;28;"0,606";42682;41661;",976";0;1
2019/20;Bournemouth;25.1;27;"0,48";11329;10510;",928";0;1
2019/20;Brighton;26.4;25;"0,631";30.666;30356;",990";0;1
2019/20;Burnley;28.1;22;"0,282";21994;20260;",921";0;1
2019/20;Chelsea;25.3;27;"0,731";40853;40563;",993";0;1
2019/20;Crystal Palace;29.0;25;"0,719";26047;25060;",962";0;1
2019/20;Everton;25.5;24;"0,566";39.571;39150;",989";0;1
2019/20;Leicester;25.9;24;"0,625";32273;32061;",993";0;1
2019/20;Liverpool;26.6;24;"0,725";54.074;53143;",983";0;1
2019/20;Man City;26.7;24;"0,811";55017;54219;",985";0;1
2019/20;Man United;24.7;29;"0,59";74879;72710;",971";0;1
2019/20;Newcastle;26.5;28;"0,715";52338;48248;",922";0;1
2019/20;Norwich;25.9;30;"0,74";27244;27022;",992";0;1
2019/20;Sheffield United;26.9;26;"0,514";32702;30905;",945";0;1
2019/20;Southampton;25.7;25;"0,508";32384;29675;",916";0;1
2019/20;Tottenham;26.2;29;"0,731";62062;59384;",957";0;1
2019/20;Watford;28.4;26;"0,654";21577;20837;",966";0;1
2019/20;West Ham;27.4;29;"0,644";60000;59925;",999";0;1
2019/20;Wolves;25.9;21;"0,885";32050;20837;",650";0;1
2019/20;FC Koln;25.8;29;"0,421";50000;49717;"0,99434";1;0
2019/20;Hoffenheim;25.7;31;"0,689";30150;26741;"0,886932007";1;0
2019/20;Leverkusen;25.8;24;"0,491";30210;27770;"0,919232042";1;0
2019/20;Bayern Munich;26.3;29;"0,573";75024;75000;"0,999680102";1;0
2019/20;Dortmund;25.5;27;"0,702";81365;81171;"0,997615682";1;0
2019/20;M'gladbach;26.4;25;"0,618";54022;51103;"0,945966458";1;0
2019/20;Ein Frankfurt;26.9;27;"0,775";51500;50200;"0,974757282";1;0
2019/20;Augsburg;26.0;28;"0,47";30660;28710;"0,936399217";1;0
2019/20;Fortuna Dusseldorf;27.0;28;"0,448";54600;43324;"0,793479853";1;0
2019/20;Hertha;26.0;32;"0,627";74649;49271;"0,660035633";1;0
2019/20;Mainz;24.8;25;"0,663";34000;27081;"0,7965";1;0
2019/20;Paderborn;25.7;27;"0,563";15000;14434;"0,962266667";1;0
2019/20;RB Leipzig;24.0;29;"0,726";42146;40809;"0,968276942";1;0
2019/20;Freiburg;26.3;26;"0,296";24000;23925;"0,996875";1;0
2019/20;Schalke 04;24.1;29;"0,738";62271;61075;"0,980793628";1;0
2019/20;Union Berlin;27.4;26;"0,385";22012;21874;"0,993730692";1;0
2019/20;Wolfsburg;25.8;26;"0,798";30000;24351;"0,8117";1;0
2019/20;Werder Bremen;26.9;30;"0,71";42100;40821;"0,969619952";1;0
2019/20;Alanyaspor;29.3;25;"0,774";10128;5309;"0,524190363";1;0
2019/20;Ankaragucu;29.9;35;"0,708";20560;10773;"0,523978599";1;0
2019/20;Antalyaspor;28.6;32;"0,581";32537;11534;"0,354488736";1;0
2019/20;Besiktas;28.5;31;"0,663";41188;28239;"0,685612314";1;0
2019/20;Rizespor;26.6;31;"0,747";15332;6488;"0,423167232";1;0
2019/20;Denizlispor;28.8;26;"0,66";18745;8612;"0,459429181";1;0
2019/20;Fenerbahce;27.9;32;"0,553";47834;38143;"0,797403521";1;0
2019/20;Galatasaray;28.5;32;"0,767";52223;34990;"0,670011298";1;0
2019/20;Gaziantep;28.4;26;"0,681";33502;8618;"0,257238374";1;0
2019/20;Genclerbirligi;28.3;29;"0,689";20560;4862;"0,236478599";1;0
2019/20;Goztep;30.1;29;"0,586";19713;10401;"0,527621367";1;0
2019/20;Buyuksehyr;29.8;29;"0,72";17156;2892;"0,168570762";1;0
2019/20;Kasimpasa;27.6;34;"0,683";13856;3033;"0,218894342";1;0
2019/20;Kayserispor;27.9;42;"0,71";32864;9536;"0,290165531";1;0
2019/20;Konyaspor;27.4;27;"0,635";42000;16005;"0,381071429";1;0
2019/20;Sivasspor;28.8;27;"0,475";27532;11918;"0,432878105";1;0
2019/20;Trabzonspor;26.7;30;"0,675";40782;29833;"0,731523711";1;0
2019/20;Yeni Malatyaspor;28.4;27;"0,729";25745;8659;"0,336337153";1;0
2019/20;Aves;24.1;44;"0,714";5441;1969;"0,361882007";1;0
2019/20;Belenenses;25.7;41;"0,326";37593;3603;"0,095842311";1;0
2019/20;Benfica;25.4;28;"0,51";65000;52479;"0,807369231";1;0
2019/20;Boavista;27.6;27;"0,791";28263;12088;"0,427696989";1;0
2019/20;Sp Braga;25.5;36;"0,398";30286;10587;"0,349567457";1;0
2019/20;Famalicao;23.4;26;"0,624";5300;4149;"0,782830189";1;0
2019/20;Gil Vicente;26.0;27;"0,683";12504;5487;"0,438819578";1;0
2019/20;Maritimo;26.4;30;"0,797";10600;6074;"0,573018868";1;0
2019/20;Moreirense;26.6;27;"0,571";6153;2229;"0,362262311";1;0
2019/20;Pacos Ferreira;26.3;31;"0,57";9200;3156;"0,343043478";1;0
2019/20;Portimonense;25.2;32;"0,746";6000;3155;"0,525833333";1;0
2019/20;Porto;26.7;28;"0,728";50399;35625;"0,706859263";1;0
2019/20;Rio Ave;26.9;27;"0,658";9065;2604;"0,287258687";1;0
2019/20;Santa Clara;26.3;29;"0,525";15000;3150;"0,21";1;0
2019/20;Sp Lisbon;24.7;36;"0,75";50080;30234;"0,603714058";1;0
2019/20;Tondela;24.8;30;"0,528";5000;2403;"0,4806";1;0
2019/20;Guimaraes;25.4;32;"0,714";29865;16910;"0,566214633";1;0
2019/20;Setubal;27.3;31;"0,537";18642;4630;"0,248363909";1;0
2019/20;Den Haag;26.8;34;"0,356";15000;12001;"0,800066667";0;0
2019/20;Ajax;24.7;29;"0,59";54990;53342;"0,970030915";0;0
2019/20;AZ Alkmaar;23.4;24;"0,401";17023;10953;"0,643423603";0;0
2019/20;FC Emmen;25.7;29;"0,387";8309;8164;"0,982549043";0;0
2019/20;Feyenoord;25.2;30;"0,429";47500;45511;"0,958126316";0;0
2019/20;For Sittard;22.7;27;"0,749";12500;7975;"0,638";0;0
2019/20;Groningen;23.3;25;"0,434";22550;18301;"0,811574279";0;0
2019/20;Heerenveen;22.5;24;"0,371";27224;18486;"0,679033206";0;0
2019/20;Heracles;23.4;23;"0,593";12400;10307;"0,831209677";0;0
2019/20;Zwolle;24.5;30;"0,392";14000;13357;"0,954071429";0;0
2019/20;PSV Eindhoven;23.8;29;"0,402";35000;33625;"0,960714286";0;0
2019/20;Waalwijk;24.9;28;"0,322";7508;5682;"0,756792754";0;0
2019/20;Sparta Rotterdam;24.5;23;"0,237";11026;10048;"0,911300562";0;0
2019/20;Twente;23.4;25;"0,533";30205;27162;"0,89925509";0;0
2019/20;Utrecht;24.9;30;"0,251";23750;19438;"0,818442105";0;0
2019/20;Vitesse;24.9;25;"0,421";21248;14571;"0,68575866";0;0
2019/20;VVV Venlo;26.3;25;"0,584";8000;6580;"0,8225";0;0
2019/20;Willem II;24.2;24;"0,694";14700;13578;"0,923673469";0;0
2019/20;Anderlecht;22.5;34;"0,348";21500;19369;"0,900883721";0;0
2019/20;Antwerp;27.2;26;"0,623";15402;12414;"0,805999221";0;0
2019/20;Cercle Brugge;23.5;36;"0,749";29062;4654;"0,16014039";0;0
2019/20;Charleroi;26.3;23;"0,76";15000;9830;"0,655333333";0;0
2019/20;Club Brugge;25.0;28;"0,604";29062;25264;"0,869313881";0;0
2019/20;Eupen;26.9;30;"0,694";8363;3296;"0,394116944";0;0
2019/20;Genk;23.3;30;"0,711";24956;18199;"0,729243469";0;0
2019/20;Gent;26.3;28;"0,627";19999;18215;"0,91079554";0;0
2019/20;Kortrijk;26.7;29;"0,562";9399;6586;"0,700712842";0;0
2019/20;Mechelen;27.3;23;"0,318";16672;15483;"0,928682821";0;0
2019/20;Mouscron;24.4;31;"0,778";10830;3944;"0,364173592";0;0
2019/20;Oostende;26.1;28;"0,69";8432;4772;"0,565939279";0;0
2019/20;St Truiden;24.0;31;"0,756";14600;5631;"0,385684932";0;0
2019/20;Standard;24.8;28;"0,612";27670;24640;"0,890495121";0;0
2019/20;Waasland-Beveren;22.8;30;"0,424";13290;4189;"0,315199398";0;0
2019/20;Waregem;26.6;28;"0,606";12250;7852;"0,640979592";0;0
2019/20;Atalanta;27.0;30;"0,799";22512;17821;"0,791622246";1;0
2019/20;Bologna;26.6;31;"0,682";36462;23054;"0,632274697";1;0
2019/20;Brescia;25.7;32;"0,35";19550;14819;"0,758005115";1;0
2019/20;Cagliari;27.4;33;"0,639";16416;15680;"0,955165692";1;0
2019/20;Fiorentina;25.0;33;"0,729";47282;35191;"0,744279007";1;0
2019/20;Genoa;26.8;34;"0,55";36599;22359;"0,610918331";1;0
2019/20;Verona;26.0;30;"0,541";39211;18098;"0,461554156";1;0
2019/20;Inter;27.7;29;"0,661";75923;65800;"0,866667545";1;0
2019/20;Juventus;28.4;30;"0,807";41507;39681;"0,95600742";1;0
2019/20;Lazio;27.7;27;"0,701";73261;38599;"0,526869685";1;0
2019/20;Lecce;28.4;30;"0,383";31559;22879;"0,724959599";1;0
2019/20;Milan;24.7;32;"0,687";75923;53957;"0,710680558";1;0
2019/20;Napoli;27.0;25;"0,76";54726;31408;"0,573913679";1;0
2019/20;Parma;28.5;25;"0,583";22352;16284;"0,728525412";1;0
2019/20;Roma;26.8;31;"0,675";73261;39397;"0,537762247";1;0
2019/20;Sampdoria;25.9;31;"0,546";36348;20078;"0,552382524";1;0
2019/20;Sassuolo;26.1;31;"0,511";21584;12453;"0,576955152";1;0
2019/20;Spal;27.5;34;"0,486";16134;13049;"0,808788893";1;0
2019/20;Torino;26.9;27;"0,543";27994;21380;"0,763735086";1;0
2019/20;Udinese;26.5;25;"0,81";25144;21914;"0,87153993";1;0
2019/20;Angers;27.4;26;"0,384";16381;9825;"0,599780233";0;0
2019/20;Amiens;27.0;27;"0,594";12999;11759;"0,904608047";0;0
2019/20;Bordeaux;26.1;26;"0,569";42052;23430;"0,557167317";0;0
2019/20;Brest;25.9;24;"0,249";15097;13717;"0,908591111";0;0
2019/20;Dijon;26.5;28;"0,727";16098;12706;"0,789290595";0;0
2019/20;Lille;24.2;25;"0,578";50186;36456;"0,726417726";0;0
2019/20;Lyon;24.2;27;"0,636";59186;47299;"0,799158585";0;0
2019/20;Marseille;26.5;23;"0,355";67394;52805;"0,783526723";0;0
2019/20;Monaco;25.8;28;"0,641";18523;6641;"0,358527236";0;0
2019/20;Metz;25.4;24;"0,676";26700;16583;"0,621086142";0;0
2019/20;Montpellier;28.0;27;"0,424";32939;14147;"0,429490877";0;0
2019/20;Nantes;25.1;29;"0,48";37463;25199;"0,672637002";0;0
2019/20;Nice;23.2;31;"0,472";36178;19225;"0,531400299";0;0
2019/20;Nimes;24.8;28;"0,202";18364;12555;"0,683674581";0;0
2019/20;Paris SG;27.0;31;"0,808";49691;47299;"0,95186251";0;0
2019/20;Reims;24.8;26;"0,631";21684;12932;"0,596384431";0;0
2019/20;Rennes;24.9;26;"0,387";29778;25893;"0,869534556";0;0
2019/20;St Etienne;26.4;31;"0,332";42000;24326;"0,579190476";0;0
2019/20;Strasbourg;25.5 ;25;"0,41";29000;24906;"0,858827586";0;0
2019/20;Toulouse;24.6;30;"0,452";33150;14232;"0,429321267";0;0
